uid,latitude,longitude,date,usable
adgs,35.3207,-120.806,2014-02-27,ko
adhj,35.6907784188826,-79.1918474934762,2019-02-19,ok
adjx,41.0491,-121.762,2021-08-23,ok
admd,46.993333,-85.1645,2016-08-22,ko
admk,45.48802,-96.44255,2017-08-21,ko
admo,35.6914970153592,-79.1905127783627,2018-08-09,ok
adow,35.6672776526305,-79.2354976210772,2016-12-13,ok
adqc,35.6700721944839,-79.2303070623025,2015-08-06,ok
adra,41.299298,-80.758329,2018-07-05,ko
adsv,35.8852387693708,-78.959714009511,2018-02-21,ok
adtv,35.79,-79.0218443351296,2017-03-21,ok
adtx,35.8930961052289,-79.022600160272,2021-10-12,ok
aduy,35.8674433012019,-78.8172880633212,2016-07-19,ok
advr,47.85615,-88.041917,2013-04-15,ko
adwf,35.7061084770495,-79.1633735710546,2016-06-08,ok
adwg,40.7201033333333,-85.1058325,2021-05-24,ok
adwl,35.7252178203894,-79.1278800358139,2013-08-26,ok
adxk,41.3305639294444,-85.3836083333333,2020-06-08,ok
adxl,37.3169,-120.742,2017-04-11,ok
adxo,41.841242,-78.994719,2020-09-02,ok
adzg,35.6984168332817,-79.1776599661585,2014-07-22,ok
aeaj,35.65,-78.6877873338886,2021-08-11,ok
aeap,35.794,-79.010326238039,2014-08-05,ok
aebg,35.637549050248,-79.290715279662,2015-07-23,ok
aecj,36.7962,-121.782,2015-08-26,ko
aeco,38.2996,-121.383,2019-03-19,ok
aecy,35.6599319997589,-79.2491413755709,2020-09-24,ok
aedy,37.6756,-121.264,2016-10-18,ok
aeea,34.73,-77.44,2021-07-20,ko
aefb,36.03,-78.6825675348135,2020-06-01,ok
aeib,35.7043519078845,-79.1666362079988,2014-08-13,ok
aeid,39.16522,-96.91105,2016-09-26,ok
aejc,42.021242,-78.95833,2017-10-04,ok
aekm,35.65436,-79.012160562122,2016-08-24,ok
aelv,35.79,-79.0332635644341,2020-06-10,ok
aemv,39.3092,-121.595,2014-11-18,ok
aepe,36.35,-79.1139891118548,2019-11-20,ko
aepl,35.646518198863,-79.2740560576897,2018-08-09,ok
aeqh,37.6756,-121.264,2016-11-14,ok
aetj,35.9131897664946,-79.1834196841548,2014-06-10,ok
aeud,34.73,-76.73,2019-01-16,ko
aeuj,36.00756,-78.9711478551039,2013-08-12,ok
aeus,37.9893,-121.463,2020-03-17,ok
aexi,35.7112451111227,-79.1538328296877,2016-09-15,ok
aexm,34.4395,-119.854,2019-05-22,ko
aeyg,34.9454,-120.417,2016-04-20,ko
aeyz,35.62967110369,-79.3053477120175,2016-06-21,ok
aezm,35.5621,-119.151,2017-02-01,ko
afas,35.6356594076614,-79.2942250860716,2017-09-20,ok
afbi,38.84259,-85.82827,2017-08-10,ok
afbl,35.6782695172535,-79.2150814232298,2018-08-09,ok
afcm,41.99847,-78.95185,2019-08-19,ok
afef,42.516667,-79.893333,2018-04-08,ko
afeh,35.51,-79.041222421222,2021-08-02,ok
afek,41.992305,-78.929219,2019-09-24,ok
afel,37.8189,-121.358,2019-07-16,ok
affc,35.98,-78.7964088670211,2018-10-25,ok
afgc,37.3978,-120.96,2014-12-03,ok
afgk,47.62155,-89.463167,2016-04-17,ko
afgy,35.7062947798397,-79.163027533803,2016-05-25,ok
afhn,35.6713763140154,-79.2278848015409,2015-04-22,ok
afhu,35.98,-78.8292190326355,2020-11-17,ok
afhv,35.8701762875874,-78.8391615070641,2018-02-21,ok
afhy,34.9454,-120.417,2019-05-21,ko
afip,35.6875846567645,-79.1977795606473,2021-04-28,ok
afiq,35.7003863199212,-79.1740018580696,2013-07-30,ok
afix,38.9695,-94.7582,2021-10-11,ko
afjc,35.7228224988008,-79.1323290861923,2013-05-16,ok
afje,41.80086,-73.24929,2020-08-25,ok
afjf,36.055,-78.763,2013-01-14,ok
afjv,34.446,-119.876,2018-09-25,ko
afke,41.3326,-75.88683,2021-08-19,ok
aflh,43.596667,-78.801667,2014-04-25,ok
afnd,35.976,-78.7489335516245,2015-09-22,ok
afos,35.8639338982297,-78.7892005730604,2015-03-24,ok
afpq,36.7254,-121.73,2019-01-18,ko
afpw,36.6291,-121.688,2018-04-25,ko
afsc,36.01,-78.9629453137003,2018-08-22,ok
afsi,35.862567405037,-78.7782638511889,2014-06-23,ok
afuh,39.20984,-96.96101,2013-09-03,ok
afum,35.7056560274161,-79.1642139472372,2016-08-10,ok
afvi,35.6621676332416,-79.2449889285511,2019-09-04,ok
afvu,36.055,-78.763,2014-04-22,ok
afwi,38.2104,-121.262,2017-02-28,ok
afyc,38.1688,-121.47,2021-08-11,ok
afzm,35.6955956767441,-79.1828999588263,2015-12-07,ok
agbg,36.9425,-121.445,2021-09-28,ko
agbl,36.17,-79.055558250219,2020-06-23,ok
agca,36.31,-79.1153732608614,2020-06-01,ko
agcl,40.48477,-78.27506,2021-11-08,ko
agcm,36.02,-76.31,2017-07-19,ko
agdh,37.6667,-120.898,2018-11-07,ok
agdv,35.1117,-118.615,2015-09-15,ko
agem,35.6391193166227,-79.2877986799695,2014-11-25,ok
aggt,42.416667,-79.8,2016-08-12,ko
aggu,43.516667,-79.08,2016-04-08,ok
aggy,41.3305639294444,-85.3836083333333,2021-08-17,ok
aghh,41.95,-82.686667,2016-04-04,ko
aghm,35.6677301022639,-79.2346572448946,2016-09-20,ok
agim,35.742,-79.2035531948727,2015-05-20,ok
agis,47.47517,-88.00176,2017-07-18,ko
agix,35.68225,-79.07802,2014-10-08,ok
agjr,35.6992685031799,-79.1760780815795,2014-04-14,ok
agku,47.370167,-90.851833,2016-04-18,ko
aglm,38.785,-121.653,2014-08-19,ok
agmv,36.1856,-104.8038,2016-05-03,ok
agpk,35.7229555722224,-79.1320819167268,2018-08-27,ok
agqj,42.733333,-87.416667,2019-04-03,ok
agqw,36.045,-79.0916449921768,2013-06-27,ok
agrt,36.11,-78.9060246475965,2018-08-27,ok
agsx,36.03,-78.72,2019-03-20,ok
agto,35.61133,-78.978107587204,2016-07-22,ok
agtu,35.68836,-78.6997183032029,2016-08-31,ok
aguh,38.51613412,-95.70697032,2016-07-18,ko
agvj,41.702596,-85.022696,2020-07-06,ok
agwh,35.6591335592294,-79.2506243923637,2021-05-24,ok
agwi,34.53937,-92.27375,2017-06-07,ok
agxc,35.98,-78.8326988986855,2021-04-20,ok
agxe,36.028,-78.716,2013-02-27,ok
agxq,40.954436,-81.12694,2020-10-07,ko
ahcm,42.027378,-78.967089,2019-10-25,ok
ahdy,33.4742,-117.138,2016-05-18,ko
ahek,41.493,-71.979,2019-08-01,ko
aheu,35.7149977816115,-79.1468626507616,2016-07-27,ok
ahez,35.8670085079133,-78.8138081972712,2016-06-07,ok
ahfv,38.7605000178019,-75.2028333346049,2020-11-11,ok
ahgg,35.48,-76.82,2018-05-03,ko
ahgi,38.99841,-95.747367,2018-07-02,ko
ahgo,36.35,-79.1138408101755,2019-11-20,ko
ahgu,41.707665,-73.382964,2017-08-17,ok
ahhm,39.264159,-79.951664,2017-07-25,ko
ahhw,37.2583,-120.475,2017-08-15,ok
ahjj,35.8837791061876,-78.9480316020574,2017-05-17,ok
ahkg,35.8968229048454,-79.0524275835578,2015-10-12,ok
ahnr,35.6630193031397,-79.2434070439721,2019-05-16,ok
ahpj,35.9056740539346,-79.1232677138617,2019-11-14,ok
ahpn,37.8817,-121.249,2018-07-17,ok
ahrn,35.6833263072738,-79.2056889835422,2015-10-12,ok
ahse,43.056389,-86.646389,2014-04-18,ok
ahsh,35.6310816819588,-79.3027277156836,2015-07-07,ok
ahsi,39.21155,-97.00559,2016-08-01,ok
ahsm,36.17911,-79.0536303283883,2013-05-30,ok
ahst,35.48,-76.82,2018-11-29,ko
ahta,36.17,-79.0559537213637,2020-08-25,ok
ahtt,39.1853,-121.704,2014-07-16,ok
ahuv,40.7201033333333,-85.1058325,2021-06-21,ok
ahvc,35.629085580635,-79.3064352576656,2015-01-27,ok
ahvi,35.6809576003696,-79.2100886000275,2017-02-14,ok
ahwi,37.4125,-120.759,2013-04-02,ok
ahwu,34.4168,-119.544,2021-01-28,ko
ahwv,35.64607,-79.0265771500434,2016-07-13,ok
ahxa,41.497974,-80.458755,2016-08-24,ko
ahya,33.2549,-117.295,2013-02-09,ko
ahys,35.976,-78.7201003757815,2013-11-12,ok
ahyx,36.0397,-106.8478,2014-09-22,ok
aiap,35.6756878928747,-79.2198765108599,2020-01-09,ok
aiby,38.7819903391667,-85.6982861111111,2021-08-24,ok
aicl,35.6512023833028,-79.2653556925053,2016-01-27,ok
aidb,35.64477,-80.254,2016-06-08,ko
aids,32.8397,-117.024,2014-05-08,ko
aidy,37.2953,-120.85,2017-08-08,ok
aiga,45.136667,-82.983333,2016-03-29,ok
aigc,35.6832730779052,-79.2057878513284,2015-11-12,ok
aihm,36.9767,-121.51,2018-04-23,ko
aihx,35.8695862109814,-78.8344388317106,2017-09-20,ok
aiii,40.32301,-79.47356,2021-08-25,ko
aiiw,38.7040833155314,-75.0756833314896,2019-07-24,ok
aiix,35.8647724281434,-78.7959117432997,2015-07-07,ok
aijb,35.878530530061,-78.9060246475965,2015-05-06,ok
aijp,43.133333,-87.0,2017-03-27,ok
aika,37.6003,-121.224,2019-08-13,ok
aimy,34.4384,-119.906,2020-04-22,ko
ainj,35.7087699454812,-79.1584301817454,2021-06-15,ok
aipr,41.309434,-80.461686,2015-08-05,ko
aipy,38.3068,-121.693,2019-12-04,ok
aiqi,34.941,-79.1023227130849,2016-08-16,ko
aiqq,35.8585300387858,-78.7459508092959,2018-08-09,ok
aisa,37.2583,-120.475,2016-04-12,ok
aivu,38.31806,-96.99139,2017-08-28,ok
aiwo,33.0426,-117.076,2015-01-08,ko
aiwq,41.890646,-78.925275,2017-06-15,ok
aiwt,35.6992152738112,-79.1761769493657,2014-05-05,ok
aixa,37.7705,-121.292,2019-02-05,ok
aixq,35.12,-78.7270601078816,2019-08-12,ko
aiyp,35.794,-79.004,2013-10-17,ok
aize,38.259,-121.668,2019-02-05,ok
ajbb,36.045,-79.0916944260699,2013-06-27,ok
ajea,35.8825989529757,-78.9385862513502,2016-10-18,ok
ajev,48.2295,-88.5455,2016-08-25,ko
ajfd,35.8717601774244,-78.8518381619606,2019-01-15,ok
ajfp,43.88,-76.9994,2018-08-15,ko
ajft,34.4384,-119.906,2018-01-11,ko
ajfv,38.28046862,-94.7337782,2018-09-17,ko
ajfx,35.8601760419497,-78.7591245879138,2013-06-27,ok
ajgg,34.40442,-111.0025,2017-09-26,ok
ajim,35.67,-79.0488846746514,2020-05-14,ok
ajjj,37.2141,-120.561,2014-04-08,ok
ajkf,39.88423,-76.37506,2017-08-30,ok
ajkz,35.95,-76.61,2020-07-28,ko
ajlw,35.873250897271,-78.8637691312749,2019-10-17,ok
ajmc,39.07775,-96.9059,2015-09-08,ok
ajme,37.61429993,-97.62981051,2016-08-08,ok
ajnn,35.6722013692293,-79.226352350855,2014-08-25,ok
ajoh,38.0739,-121.212,2017-02-28,ok
ajqf,34.9552,-120.487,2021-10-04,ko
ajqv,41.56467,-79.9455,2019-08-22,ko
ajru,39.474744,-86.898353,2021-06-14,ok
ajrw,36.12,-78.9119901322537,2018-05-21,ok
ajsm,35.6738514796568,-79.2232874494833,2020-12-10,ok
ajsq,35.976,-78.722337432528,2014-01-14,ok
ajuc,32.04667,-96.75054,2017-09-13,ok
ajuj,42.733333,-87.0,2013-03-28,ok
ajvc,34.9552,-120.487,2021-01-29,ko
ajvk,38.0601,-121.499,2013-08-20,ok
ajvu,35.794,-79.004,2013-09-18,ok
ajwh,35.7019565862959,-79.1710852583771,2019-07-02,ok
ajxf,39.82640667,-95.52873464,2017-10-30,ko
ajzm,48.72519,-116.1086,2017-08-03,ko
akao,35.4265,-118.832,2019-10-15,ko
akba,38.2361,-121.419,2015-09-23,ok
akbi,35.9132208231581,-79.1836682460155,2014-06-10,ok
akbk,38.51613412,-95.70697032,2017-10-02,ko
akbz,42.038186,-78.908886,2014-08-14,ok
akcy,41.868925,-73.0977,2018-09-27,ok
akgs,47.606167,-86.818833,2019-08-25,ko
akgu,35.2,-79.1051898788843,2018-08-13,ok
akhe,39.309992,-80.034025,2017-07-26,ko
akjw,41.702596,-85.022696,2017-07-17,ok
akka,36.33,-79.1159170336854,2020-06-24,ko
aklk,35.79,-79.0284190429109,2019-02-19,ok
aknj,35.33794,-79.045473736028,2015-07-21,ok
akpm,35.8584679254588,-78.7454536855745,2015-11-12,ok
akqd,44.736667,-86.721667,2017-03-28,ok
akqj,36.17,-79.0551627790742,2020-05-27,ok
akqp,36.532781,-105.236671,2015-04-09,ok
akrh,35.8616046484694,-78.7705584335067,2013-12-05,ok
akst,36.346,-79.1128026984206,2019-06-13,ko
aksu,37.9495,-121.182,2019-05-21,ok
akvu,35.6855619407565,-79.2015365365224,2015-01-27,ok
akwt,39.7469388888889,-87.0759805555555,2019-08-19,ok
akww,37.5582,-121.164,2015-03-10,ok
akxc,35.888686059016,-78.9873043760504,2019-09-14,ok
akxm,35.036,-79.118883067271,2021-08-16,ko
akzy,37.6003,-121.224,2018-05-08,ok
albx,37.6173,-122.074,2017-07-13,ok
aldv,35.74,-79.02,2019-04-10,ok
aler,42.081667,-81.011667,2019-08-10,ko
alez,42.416667,-79.8,2013-08-11,ko
alfc,40.968788,-81.119867,2017-06-27,ko
alfh,45.75,-83.916667,2013-03-29,ok
algg,39.74826,-78.67698,2020-09-14,ko
algi,35.02,-83.79,2019-08-22,ko
algu,41.285686,-80.361664,2016-07-20,ko
alhz,35.48,-76.82,2017-03-07,ko
alif,38.3677,-121.521,2016-10-18,ok
aliv,38.37080661,-98.79520846,2017-10-16,ok
aljj,40.3155,-96.9964,2017-09-20,ok
aljv,39.21155,-97.00559,2021-10-11,ok
aljz,35.6722812132822,-79.2262040491758,2014-08-25,ok
allm,34.85,-78.83,2019-06-27,ko
almt,41.843527,-78.957332,2013-08-20,ok
alpb,38.36472,-97.10194,2017-07-17,ok
alpl,35.6440430332214,-79.2786534097473,2019-10-17,ok
alqd,38.7078250249227,-75.0808666706085,2018-08-01,ok
alqp,37.4419,-121.003,2018-06-12,ok
alqs,39.21067,-96.97298,2016-08-15,ok
alrk,33.513,-117.269,2016-01-21,ko
alsf,35.6891549231392,-79.1948629609548,2020-03-11,ok
altb,36.15,-79.1069694990356,2020-09-23,ok
alvh,36.7025,-121.709,2013-12-11,ko
alvv,35.794,-79.0163077391032,2015-09-24,ok
alwg,38.2104,-121.262,2017-05-16,ok
alwh,36.04,-76.61,2021-09-30,ko
alwn,35.7224232785361,-79.1330705945887,2013-09-19,ok
alwp,44.87302,-93.556776,2013-08-19,ok
alxm,37.6106,-121.229,2014-08-12,ok
alxr,35.7237806274363,-79.1305494660409,2013-06-19,ok
alxv,35.976,-78.7096607776315,2013-03-20,ok
alyc,35.84,-79.0611442801385,2020-09-09,ok
alyf,38.307,-121.794,2015-05-19,ok
amai,35.6848433442799,-79.2028712516359,2015-05-20,ok
amak,38.307,-121.794,2019-07-16,ok
amap,35.6887024735058,-79.1957033371374,2020-06-10,ok
amat,36.9893,-121.533,2018-04-23,ko
ambi,42.516667,-79.893333,2014-08-15,ko
amcm,35.6336633063376,-79.2979326280536,2015-09-09,ok
amcu,35.6771517005122,-79.2171576467397,2019-05-16,ok
amfl,35.8603002686036,-78.7601188353567,2013-07-10,ok
amgv,42.027378,-78.967089,2014-10-27,ok
amjb,48.17831,-91.98468,2017-08-24,ko
amjd,35.6316938196982,-79.3015907361425,2015-03-24,ok
amjh,41.977778,-81.756944,2015-08-11,ko
amjn,41.995,-82.45,2019-04-28,ko
amks,38.9725,-94.67293,2021-10-25,ko
amkz,35.6892613818765,-79.1946652253825,2020-01-09,ok
amma,39.1766,-122.189,2017-12-27,ok
ammk,36.17,-79.0521473115956,2018-06-28,ok
ammz,33.4779,-117.142,2017-05-17,ko
amol,35.742,-79.23387774188,2016-07-19,ok
amos,36.7085,-121.749,2021-04-29,ko
amow,35.64607,-79.0230972839934,2016-06-08,ok
amqv,43.89,-82.056667,2014-04-22,ok
amrx,38.2104,-121.262,2016-02-18,ok
amsp,44.868638,-93.524033,2013-07-22,ok
amtf,36.00756,-78.9664251797504,2013-06-11,ok
amtr,34.41,-78.3,2019-05-20,ko
amuf,35.6673574966835,-79.2353493193979,2016-11-21,ok
amuw,38.06284,-100.05499,2013-06-10,ok
amwf,47.62155,-89.463167,2015-08-28,ko
amwp,35.7218643701654,-79.1341087063436,2014-07-08,ok
amww,35.6820221877423,-79.2081112443037,2016-07-19,ok
amwx,35.64607,-79.0196174179434,2016-05-25,ok
amxb,39.263048,-80.00583,2017-07-25,ko
amyy,35.6712964699625,-79.2280331032202,2015-04-22,ok
amzo,48.0825,-89.252383,2015-05-10,ko
anbo,35.742,-79.2057902516191,2015-06-10,ok
andt,41.840964,-79.009164,2015-09-29,ok
anei,47.35085,-121.9925,2017-09-07,ok
anfv,35.74,-79.02,2017-11-15,ok
angt,35.71973519542,-79.1380634177911,2013-07-22,ok
anjy,42.253333,-81.106667,2016-08-12,ko
anke,37.4341,-122.218,2015-07-07,ok
anlm,35.6472101806552,-79.2727707764693,2018-03-22,ok
anlo,43.58,-77.2,2018-08-15,ko
anlp,36.1606,-79.0982196999582,2015-07-27,ok
anmf,34.73475,-77.44025,2015-09-14,ko
anmy,42.383333,-87.0,2019-04-04,ok
annu,35.61,-78.9554884578789,2018-08-28,ok
anra,43.89,-82.056667,2015-08-09,ok
anrk,35.7222902051145,-79.1333177640541,2018-05-21,ok
anrt,35.794,-79.0112654820077,2014-10-08,ok
antr,36.03,-78.6940013804064,2021-04-20,ok
anuc,37.5582,-121.164,2017-08-08,ok
anuf,39.03917524,-95.69083603,2019-09-30,ko
anuh,35.67294658039,-79.2249682018484,2021-08-05,ok
anvc,36.045,-79.0924853683594,2013-09-25,ok
anvh,37.0062,-120.6,2021-03-19,ko
anvn,34.9354,-120.356,2017-01-09,ko
anvp,37.2616,-120.906,2020-07-14,ok
anwq,35.8698346642892,-78.8364273265963,2017-11-15,ok
anwv,36.3,-80.04,2019-09-30,ko
anxo,36.54,-79.065692198303,2019-09-19,ko
anxr,45.41361,-84.80677,2017-07-24,ok
anyq,35.6525331175187,-79.2628839978507,2015-07-07,ok
anzf,36.177,-79.0541246673193,2013-07-31,ok
aoab,47.606167,-86.818833,2017-04-17,ko
aobs,37.9792,-121.57,2016-12-16,ok
aobu,37.1145,-120.89,2016-05-10,ok
aoce,36.16894,-79.0711299265432,2013-09-05,ok
aoco,35.6746765348707,-79.2217549987974,2020-07-15,ok
aocw,39.07775,-96.9059,2016-08-08,ok
aofk,35.8780957367724,-78.9025447815465,2015-03-24,ok
aogc,35.9150531663029,-79.1983333957977,2015-01-27,ok
aogk,41.70051,-80.10148,2020-07-29,ko
aogm,40.11461,-75.8596,2019-08-15,ok
aogy,35.0228,-120.586,2013-09-17,ko
aogz,47.370167,-90.851833,2019-05-04,ko
aohi,35.647023877865,-79.2731168137209,2018-04-11,ok
aohj,40.38382,-76.0402,2019-08-05,ok
aohs,36.055,-78.763,2014-12-10,ok
aoit,35.6709770937507,-79.2286263099373,2015-05-20,ok
aojn,35.7201344156848,-79.1373219093947,2013-05-22,ok
aojo,39.21067,-96.97298,2015-08-03,ok
aojs,35.7186173786787,-79.140139641301,2019-06-01,ok
aoko,36.03,-78.6875387720278,2020-09-16,ok
aolc,35.909059230253,-79.1503609566796,2021-07-12,ok
aold,36.14,-76.75,2019-09-12,ko
aolg,41.69417,-80.08583,2020-08-31,ko
aoln,35.6504039427733,-79.2668387092981,2016-05-24,ok
aomf,38.307,-121.794,2014-02-10,ok
aony,35.8720707440591,-78.8543237805678,2019-05-16,ok
aoom,29.84254,-96.76571,2017-09-20,ok
aoon,35.8957048649605,-79.0434793565721,2015-07-07,ok
aopf,35.6882500238724,-79.19654371332,2020-09-24,ok
aopl,35.6651750925695,-79.2394028986316,2017-12-06,ok
aoqa,37.65556,-98.26099,2017-06-14,ko
aoqj,38.4571,-122.631,2014-03-26,ko
aoqv,39.79219,-99.97105,2016-06-13,ok
aosf,34.9354,-120.356,2014-02-28,ko
aosm,35.8869468858617,-78.9733849118504,2018-12-06,ok
aosw,42.253333,-81.106667,2019-04-22,ko
aoth,35.6479021624475,-79.2714854952489,2017-10-18,ok
aotx,35.9130034265138,-79.1819283129905,2014-04-14,ok
aowb,35.6928809789437,-79.1879422159218,2017-07-20,ok
aoxm,41.512172,-73.476168,2017-08-17,ok
aozh,35.868375001106,-78.8247449191427,2017-01-24,ok
aozi,35.65436,-79.0134033714255,2016-08-31,ok
aozp,35.8669463945864,-78.8133110735497,2016-06-07,ok
aozr,38.4831216812134,-75.1296916643778,2020-10-13,ok
apak,35.913810899764,-79.1883909213691,2014-07-16,ok
apbg,36.39,-78.8570579610356,2019-08-28,ko
apbq,35.6355529489242,-79.294422821644,2017-10-18,ok
apcu,37.2639,-120.906,2020-08-17,ok
apdc,38.1602,-121.206,2015-03-17,ok
apdg,41.1883,-123.7055,2018-08-22,ok
apec,37.3294,-122.086,2019-06-03,ok
aped,36.8754,-121.561,2020-04-28,ko
apej,35.7211990030575,-79.135344553671,2018-06-25,ok
apiz,35.7189633695748,-79.1394970006908,2018-07-16,ok
aplj,35.64607,-79.0228487221327,2016-06-08,ok
apms,40.11372,-79.52797,2021-08-30,ko
apnm,35.7174197178844,-79.1423641664901,2019-06-01,ok
apnz,39.80482,-99.93915,2019-07-22,ok
apob,39.5863833333333,-84.9948666666667,2020-05-19,ko
apoh,35.6660533771519,-79.2377715801595,2017-07-20,ok
